z rho cpa p g kappa mu bulk wx wy cp cv gamma
1.301419e+03 1.049464e+00 3.421923e+02 8.784500e+04 9.802636e+00 0.000000e+00 0.000000e+00 0.000000e+00 -6.149244e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.325183e+03 1.046935e+00 3.421291e+02 8.760082e+04 9.802563e+00 0.000000e+00 0.000000e+00 0.000000e+00 -6.038062e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.348948e+03 1.044414e+00 3.420655e+02 8.735724e+04 9.802489e+00 0.000000e+00 0.000000e+00 0.000000e+00 -5.920985e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.372712e+03 1.041900e+00 3.420015e+02 8.711425e+04 9.802416e+00 0.000000e+00 0.000000e+00 0.000000e+00 -5.797862e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.396477e+03 1.039393e+00 3.419373e+02 8.687184e+04 9.802343e+00 0.000000e+00 0.000000e+00 0.000000e+00 -5.668542e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.420242e+03 1.036892e+00 3.418727e+02 8.663002e+04 9.802269e+00 0.000000e+00 0.000000e+00 0.000000e+00 -5.532876e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.444006e+03 1.034399e+00 3.418078e+02 8.638878e+04 9.802196e+00 0.000000e+00 0.000000e+00 0.000000e+00 -5.390713e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.467771e+03 1.031913e+00 3.417426e+02 8.614813e+04 9.802123e+00 0.000000e+00 0.000000e+00 0.000000e+00 -5.241901e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.491535e+03 1.029434e+00 3.416770e+02 8.590805e+04 9.802050e+00 0.000000e+00 0.000000e+00 0.000000e+00 -5.086291e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.515300e+03 1.026961e+00 3.416112e+02 8.566856e+04 9.801976e+00 0.000000e+00 0.000000e+00 0.000000e+00 -4.923732e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.539065e+03 1.024496e+00 3.415450e+02 8.542964e+04 9.801903e+00 0.000000e+00 0.000000e+00 0.000000e+00 -4.754073e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.562829e+03 1.022037e+00 3.414785e+02 8.519129e+04 9.801830e+00 0.000000e+00 0.000000e+00 0.000000e+00 -4.577164e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.586594e+03 1.019585e+00 3.414116e+02 8.495352e+04 9.801757e+00 0.000000e+00 0.000000e+00 0.000000e+00 -4.392855e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.610358e+03 1.017140e+00 3.413445e+02 8.471633e+04 9.801683e+00 0.000000e+00 0.000000e+00 0.000000e+00 -4.200994e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.634123e+03 1.014702e+00 3.412771e+02 8.447970e+04 9.801610e+00 0.000000e+00 0.000000e+00 0.000000e+00 -4.001431e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.657888e+03 1.012270e+00 3.412093e+02 8.424364e+04 9.801537e+00 0.000000e+00 0.000000e+00 0.000000e+00 -3.794015e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.681652e+03 1.009845e+00 3.411412e+02 8.400816e+04 9.801463e+00 0.000000e+00 0.000000e+00 0.000000e+00 -3.578597e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.705417e+03 1.007426e+00 3.410728e+02 8.377323e+04 9.801390e+00 0.000000e+00 0.000000e+00 0.000000e+00 -3.355025e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.729181e+03 1.005014e+00 3.410041e+02 8.353887e+04 9.801317e+00 0.000000e+00 0.000000e+00 0.000000e+00 -3.123148e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.752946e+03 1.002609e+00 3.409351e+02 8.330508e+04 9.801244e+00 0.000000e+00 0.000000e+00 0.000000e+00 -2.882818e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.776711e+03 1.000210e+00 3.408658e+02 8.307185e+04 9.801170e+00 0.000000e+00 0.000000e+00 0.000000e+00 -2.633881e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.800475e+03 9.978177e-01 3.407962e+02 8.283917e+04 9.801097e+00 0.000000e+00 0.000000e+00 0.000000e+00 -2.376189e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.824240e+03 9.954318e-01 3.407263e+02 8.260706e+04 9.801024e+00 0.000000e+00 0.000000e+00 0.000000e+00 -2.109591e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.848005e+03 9.930523e-01 3.406561e+02 8.237550e+04 9.800951e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.833966e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.871769e+03 9.906791e-01 3.405856e+02 8.214450e+04 9.800877e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.549966e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.895534e+03 9.883124e-01 3.405148e+02 8.191405e+04 9.800804e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.259072e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.919298e+03 9.859519e-01 3.404437e+02 8.168415e+04 9.800731e+00 0.000000e+00 0.000000e+00 0.000000e+00 -9.628066e-02 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.943063e+03 9.835977e-01 3.403722e+02 8.145481e+04 9.800658e+00 0.000000e+00 0.000000e+00 0.000000e+00 -6.626894e-02 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.966828e+03 9.812498e-01 3.403005e+02 8.122601e+04 9.800584e+00 0.000000e+00 0.000000e+00 0.000000e+00 -3.602421e-02 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
1.990592e+03 9.789082e-01 3.402285e+02 8.099777e+04 9.800511e+00 0.000000e+00 0.000000e+00 0.000000e+00 -5.698580e-03 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.014357e+03 9.765727e-01 3.401563e+02 8.077007e+04 9.800438e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.455584e-02 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.038121e+03 9.742434e-01 3.400837e+02 8.054291e+04 9.800365e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.458694e-02 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.061886e+03 9.719203e-01 3.400108e+02 8.031630e+04 9.800291e+00 0.000000e+00 0.000000e+00 0.000000e+00 8.424260e-02 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.085651e+03 9.696033e-01 3.399376e+02 8.009023e+04 9.800218e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.133707e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.109415e+03 9.672924e-01 3.398642e+02 7.986470e+04 9.800145e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.418191e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.133180e+03 9.649875e-01 3.397905e+02 7.963971e+04 9.800072e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.694358e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.156944e+03 9.626887e-01 3.397164e+02 7.941526e+04 9.799998e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.960686e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.180709e+03 9.603959e-01 3.396421e+02 7.919135e+04 9.799925e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.215653e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.204474e+03 9.581091e-01 3.395675e+02 7.896797e+04 9.799852e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.457740e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.228238e+03 9.558282e-01 3.394927e+02 7.874512e+04 9.799779e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.685424e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.252003e+03 9.535533e-01 3.394175e+02 7.852281e+04 9.799705e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.897184e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.275767e+03 9.512842e-01 3.393421e+02 7.830103e+04 9.799632e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.091500e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.299532e+03 9.490210e-01 3.392664e+02 7.807978e+04 9.799559e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.266850e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.323297e+03 9.467637e-01 3.391905e+02 7.785905e+04 9.799486e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.421713e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.347061e+03 9.445121e-01 3.391142e+02 7.763886e+04 9.799412e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.554568e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.370826e+03 9.422664e-01 3.390377e+02 7.741919e+04 9.799339e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.663894e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.394590e+03 9.400264e-01 3.389609e+02 7.720004e+04 9.799266e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.748169e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.418355e+03 9.377921e-01 3.388838e+02 7.698142e+04 9.799193e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.805873e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.442120e+03 9.355635e-01 3.388065e+02 7.676331e+04 9.799119e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.835485e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.465884e+03 9.333406e-01 3.387289e+02 7.654573e+04 9.799046e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.835625e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.489649e+03 9.311233e-01 3.386511e+02 7.632867e+04 9.798973e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.806331e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.513414e+03 9.289117e-01 3.385729e+02 7.611212e+04 9.798900e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.748449e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.537178e+03 9.267056e-01 3.384945e+02 7.589609e+04 9.798826e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.662834e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.560943e+03 9.245051e-01 3.384159e+02 7.568058e+04 9.798753e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.550343e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.584707e+03 9.223102e-01 3.383370e+02 7.546558e+04 9.798680e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.411832e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.608472e+03 9.201207e-01 3.382578e+02 7.525109e+04 9.798607e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.248157e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.632237e+03 9.179368e-01 3.381784e+02 7.503711e+04 9.798533e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.060173e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.656001e+03 9.157584e-01 3.380987e+02 7.482364e+04 9.798460e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.848736e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.679766e+03 9.135853e-01 3.380187e+02 7.461068e+04 9.798387e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.614703e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.703530e+03 9.114177e-01 3.379386e+02 7.439823e+04 9.798314e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.358929e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.727295e+03 9.092555e-01 3.378581e+02 7.418629e+04 9.798241e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.082270e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.751060e+03 9.070987e-01 3.377774e+02 7.397485e+04 9.798167e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.785583e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.774824e+03 9.049472e-01 3.376965e+02 7.376391e+04 9.798094e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.469722e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.798589e+03 9.028011e-01 3.376153e+02 7.355347e+04 9.798021e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.135544e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.822353e+03 9.006602e-01 3.375338e+02 7.334354e+04 9.797948e+00 0.000000e+00 0.000000e+00 0.000000e+00 7.839051e-02 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.846118e+03 8.985247e-01 3.374521e+02 7.313410e+04 9.797874e+00 0.000000e+00 0.000000e+00 0.000000e+00 4.156609e-02 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.869883e+03 8.963943e-01 3.373702e+02 7.292516e+04 9.797801e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.166746e-03 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.893647e+03 8.942692e-01 3.372880e+02 7.271672e+04 9.797728e+00 0.000000e+00 0.000000e+00 0.000000e+00 -3.672194e-02 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.917412e+03 8.921493e-01 3.372056e+02 7.250878e+04 9.797655e+00 0.000000e+00 0.000000e+00 0.000000e+00 -7.801438e-02 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.941176e+03 8.900346e-01 3.371229e+02 7.230133e+04 9.797582e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.206250e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.964941e+03 8.879250e-01 3.370400e+02 7.209438e+04 9.797508e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.644681e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
2.988706e+03 8.858206e-01 3.369569e+02 7.188791e+04 9.797435e+00 0.000000e+00 0.000000e+00 0.000000e+00 -2.094583e-01 0.000000e+00 3.500000e+00 2.500000e+00 1.400000e+00
